"p","Threshold","Seeds","Active_Rows","Null_Rows","TPR","TNR","FPR","Active_Mean_MaxSelFreq","Null_Mean_MaxSelFreq"
50,0.2,30,270,1230,1,0,1,0.684277777777778,0.652747967479675
100,0.2,30,270,2730,1,0,1,0.749537037037037,0.717705128205128
200,0.2,30,270,5730,1,0,1,0.754703703703704,0.726677137870855
50,0.5,30,270,1230,0.840740740740741,0.208130081300813,0.791869918699187,0.684277777777778,0.652747967479675
100,0.5,30,270,2730,0.944444444444444,0.078021978021978,0.921978021978022,0.749537037037037,0.717705128205128
200,0.5,30,270,5730,0.955555555555556,0.074869109947644,0.925130890052356,0.754703703703704,0.726677137870855
50,0.8,30,270,1230,0.292592592592593,0.788617886178862,0.211382113821138,0.684277777777778,0.652747967479675
100,0.8,30,270,2730,0.448148148148148,0.657875457875458,0.342124542124542,0.749537037037037,0.717705128205128
200,0.8,30,270,5730,0.462962962962963,0.631762652705061,0.368237347294939,0.754703703703704,0.726677137870855
