"p","Method","Effect_Type","Mean","SD","Median","N"
50,"SGL-WQS","Negative",-2.015927574181,0.533662693783005,-1.98162988888141,30
50,"SGL-WQS","Positive",2.06380672293751,0.492200771424688,2.08223737433686,30
50,"gWQS","Negative",-0.372073014480463,0.997240038192349,-0.479509131597826,30
50,"gWQS","Positive",0.4108577628488,0.672278369660327,0.441219902389561,30
50,"groupWQS","GWQS1",0.20799581718978,0.199304718772087,0.217350887944458,30
50,"groupWQS","GWQS10",-0.0244783073001644,0.279675443998663,0.0391010546236105,30
50,"groupWQS","GWQS2",-0.0665539306809684,0.192237591518612,-0.0626875081727713,30
50,"groupWQS","GWQS3",-0.180222825256476,0.188603078549184,-0.208023812356774,30
50,"groupWQS","GWQS4",0.0290332126879657,0.238993434284403,0.0419795623707594,30
50,"groupWQS","GWQS5",0.040030251818417,0.203715585105181,0.0495800274593137,30
50,"groupWQS","GWQS6",-0.0443311335377583,0.213117765672109,-0.0636841036341053,30
50,"groupWQS","GWQS7",-0.0737830186317822,0.228962774108475,-0.119928818819705,30
50,"groupWQS","GWQS8",-0.0426363552921182,0.263009455682539,-0.052511882184128,30
50,"groupWQS","GWQS9",0.0722372347971206,0.200873848355497,0.100222542572927,30
50,"qgcomp","Negative",-2.91974976358926,0.473464186064247,-2.96686513708702,30
50,"qgcomp","Overall",0.0142743284517683,0.37078115638008,-0.0509894502016928,30
50,"qgcomp","Positive",2.93402409204103,0.360819904588406,2.97507557866766,30
100,"SGL-WQS","Negative",-4.44487705377751,0.66962399022221,-4.44214368237881,30
100,"SGL-WQS","Positive",4.46388512316129,0.598805480604686,4.37753341338127,30
100,"gWQS","Negative",-0.185195671601111,1.55839956848884,0.0375005579515526,30
100,"gWQS","Positive",0.338246868375578,1.57214646036476,0.259996144635717,30
100,"groupWQS","GWQS1",0.282501406556262,0.242883549664102,0.24717265913109,30
100,"groupWQS","GWQS10",0.0143289218085242,0.258427046853361,0.00381025218839414,30
100,"groupWQS","GWQS2",-0.0493234513856948,0.248187645952913,-0.0292397159271751,30
100,"groupWQS","GWQS3",-0.253220866420983,0.250056775406467,-0.289857397762578,30
100,"groupWQS","GWQS4",-0.017187089363477,0.281964188062548,-0.0460352033967774,30
100,"groupWQS","GWQS5",-0.052964537813202,0.268570923364909,-0.086564726724364,30
100,"groupWQS","GWQS6",-0.0130547318172761,0.298721775971568,-0.0218189050867661,30
100,"groupWQS","GWQS7",-0.0319490756507289,0.196551097276722,-0.0334775239742478,30
100,"groupWQS","GWQS8",-0.0281233492258241,0.271752894951097,-0.0277754738603044,30
100,"groupWQS","GWQS9",0.0333778539085743,0.184847085133951,0.0313243678033253,30
100,"qgcomp","Negative",-6.03323581978151,0.546987763612783,-5.96192073262264,30
100,"qgcomp","Overall",0.0230195023589592,0.383146857045265,0.00419406437075209,30
100,"qgcomp","Positive",6.05625532214047,0.497836438377047,6.02791088545217,30
200,"SGL-WQS","Negative",-9.26729763478284,0.92172339677851,-9.14105157935815,30
200,"SGL-WQS","Positive",9.45737678709063,0.87529792375986,9.33889240731785,30
200,"gWQS","Negative",0.28385974715959,2.0062123514454,0.321762822961634,30
200,"gWQS","Positive",-0.0360952670202463,2.24970817547422,-0.0460216741689107,30
200,"groupWQS","GWQS1",0.236947137357235,0.227239645877882,0.176945150323189,30
200,"groupWQS","GWQS10",-0.00351139884837566,0.263665562633673,0.027796294857726,30
200,"groupWQS","GWQS2",-0.0746194790491611,0.237996334960359,-0.0965412999580511,30
200,"groupWQS","GWQS3",-0.0916918909082494,0.276390619684093,-0.110888754580806,30
200,"groupWQS","GWQS4",0.0145649990758368,0.229956980372779,0.0104674768446102,30
200,"groupWQS","GWQS5",-0.0803432269232594,0.294760684714468,-0.168354324531771,30
200,"groupWQS","GWQS6",0.0211827279228038,0.263158274292523,0.0229131072399026,30
200,"groupWQS","GWQS7",0.0884096207226148,0.310349344028851,0.0720104102219744,30
200,"groupWQS","GWQS8",-0.0456547753997137,0.24525272214563,-0.056432820275126,30
200,"groupWQS","GWQS9",-0.0540523700909113,0.23201122245504,-0.0910810900636394,30
200,"qgcomp","Negative",-13.2321630765886,0.807857708640961,-13.1610593655584,30
200,"qgcomp","Overall",0.148160484210122,0.502368601657679,0.187542949644482,30
200,"qgcomp","Positive",13.3803235607987,0.876234488253406,13.4268654848598,30
